Geo Point;Opérateur de Mobilité;Aménageur;id_borne;nom_borne;numero_rue;libelle_voie;commune;code_postal;code_insee;marque_borne;modele_borne;Interopérabilité;type_chargement;date_mise_en_service;id_prise;ordre_prise;puissance_prise;connecteur_disponible_prise;longitude;latitude;geolocalisation
43.674091002,1.45583799813;Révéo;Toulouse Metropole;STATION-FR-M31-P31282-001;LAUNAGUET - Av. Des Nobles;17;Av. Des Nobles;Launaguet;31140;31282;CAHORS;City 2;Mobilecity,Gireve,KiwhiOCPI;normal;2018-09-14;FR*M31*E31282*001*1;1;22;EF,T2,T3;1.455838;43.674091;43.674091,1.455838
43.674109,1.4558375423;Révéo;Toulouse Metropole;STATION-FR-M31-P31282-001;LAUNAGUET - Av. Des Nobles;17;Av. Des Nobles;Launaguet;31140;31282;CAHORS;City 2;Mobilecity,Gireve,KiwhiOCPI;normal;2018-09-14;FR*M31*E31282*001*2;2;22;EF,T2,T3;1.455838;43.674091;43.674091,1.455838
43.5851229967,1.53080056384;Révéo;Toulouse Metropole;STATION-FR-M31-P31445-001;QUINT-FONSEGRIVES - Route De Castres;;Route De Castres;Quint-Fonsegrives;31130;31445;CAHORS;City 2;Mobilecity,Gireve,KiwhiOCPI;normal;2018-09-14;FR*M31*E31445*001*1;1;22;EF,T2,T3;1.530801;43.585105;43.585105,1.530801
43.6934939976,1.41315600321;Révéo;Toulouse Metropole;STATION-FR-M31-P31467-001;SAINT ALBAN - Rue Des Lilas;;Rue Des Lilas;Saint-Alban;31140;31467;CAHORS;City 2;Mobilecity,Gireve,KiwhiOCPI;normal;2018-01-26;FR*M31*E31467*001*1;1;22;EF,T2,T3;1.413156;43.693494;43.693494,1.413156
43.6101289997,1.45644354217;Révéo;Toulouse Metropole;STATION-FR-M31-P31555-001;TOULOUSE - Marengo;01/01;Boulevard De Marengo;Toulouse;31500;31555;CAHORS;City 2;Mobilecity,Gireve,KiwhiOCPI;normal;2018-01-19;FR*M31*E31555*001*5;5;4;EF;1.456444;43.610111;43.610111,1.456444
43.6101224791,1.45646307986;Révéo;Toulouse Metropole;STATION-FR-M31-P31555-001;TOULOUSE - Marengo;01/01;Boulevard De Marengo;Toulouse;31500;31555;CAHORS;City 2;Mobilecity,Gireve,KiwhiOCPI;normal;2016-07-10;FR*M31*E31555*001*6;6;4;T3;1.456444;43.610111;43.610111,1.456444
43.6019940008,1.45141554658;Révéo;Toulouse Metropole;STATION-FR-M31-P31555-005;TOULOUSE - François Verdier;23;Boulevard Lazare Carnot;Toulouse;31000;31555;CAHORS;City 2;Mobilecity,Gireve,KiwhiOCPI;normal;2018-04-04;FR*M31*E31555*005*1;1;22;EF,T2,T3;1.451416;43.601976;43.601976,1.451416
43.5972959965,1.44480554285;Révéo;Toulouse Metropole;STATION-FR-M31-P31555-006;TOULOUSE - Carmes;42;Place Des Carmes;Toulouse;31000;31555;CAHORS;City 2;Mobilecity,Gireve,KiwhiOCPI;normal;2018-04-04;FR*M31*E31555*006*1;1;18;EF,T2,T3;1.444806;43.597278;43.597278,1.444806
43.564421415,1.48963097388;Révéo;Toulouse Metropole;STATION-FR-M31-E31555-007;TOULOUSE - Caroline Aigle;;Caroline Aigle;Toulouse;31400;31555;EVTRONIC;QUICK CHARGER EVTRONIC;Mobilecity,Gireve,KiwhiOCPI;rapide;2017-10-24;FR*M31*E31555*007*2;2;36;CHADEMO;1.4896506071;43.5644104437;43.5644104437,1.4896506071
43.6068720023,1.45095300187;Révéo;Toulouse Metropole;STATION-FR-M31-P31555-010;TOULOUSE  - Jean Jaures;50;Jean Jaures;Toulouse;31000;31555;CAHORS;City 2;Mobilecity,Gireve,KiwhiOCPI;normal;2019-08-23;FR*M31*E31555*010*4;4;22;EF,T2,T3;1.450953;43.606872;43.606872,1.450953
