Code établissement;Appellation officielle;Dénomination principale;Patronyme uai;Secteur Public/Privé;Adresse;Lieu dit;Boite postale;Code postal;Localite d'acheminement;Commune;Coordonnee X;Coordonnee Y;EPSG;Latitude;Longitude;Qualité d'appariement;Localisation;Code nature;Nature;Code état établissement;Etat établissement;Code département;Code région;Code académie;Code commune;Département;Région;Académie;Position;secteur_prive_code_type_contrat;secteur_prive_libelle_type_contrat;code_ministere;libelle_ministere;date_ouverture
0420593S;Ecole primaire Petit Coin;ECOLE PRIMAIRE PUBLIQUE;PETIT COIN PRIMAIRE;Public;31 rue Palluat de Besset;;;42000;ST ETIENNE;Saint-Etienne;807421.8;6483573.6;EPSG:2154;45.44318636878038;4.3741706445200785;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4431863688,4.37417064452;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-07-06
0420690X;Ecole maternelle Chappe;ECOLE MATERNELLE PUBLIQUE;CHAPPE MATERNELLE;Public;3 impasse Noël Mazet;;;42000;ST ETIENNE;Saint-Etienne;808867.3;6483270.9;EPSG:2154;45.44023307149244;4.3925898047604175;Correcte;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4402330715,4.39258980476;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-07-15
0421209L;Section d'enseignement général et professionnel adapté du Collège Jules Vallès;SEGPA;CLG JULES VALLES;Public;3  RUE DU PUITS THIBAUD;;;42000;ST ETIENNE;Saint-Etienne;809463.4;6483919.4;EPSG:2154;45.44597671688978;4.400360397819424;Parfaite;Numéro de rue;390;SECTION ENSEIGNT GEN. ET PROF. ADAPTE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4459767169,4.40036039782;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1970-06-29
0421669L;Ecole élémentaire Vivaraize;ECOLE ELEMENTAIRE PUBLIQUE;VIVARAIZE ELEMENTAIRE;Public;93 rue Jean-Baptiste David;;;42100;ST ETIENNE;Saint-Etienne;809488.3;6481589.7;EPSG:2154;45.42499805072229;4.400150455502819;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4249980507,4.4001504555;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1984-09-01
0421679X;Collège Le Portail Rouge;COLLEGE;LE PORTAIL ROUGE;Public;16 rue DU PORTAIL ROUGE;;;42100;ST ETIENNE;Saint-Etienne;810305.0;6480705.3;EPSG:2154;45.41690480127118;4.410390317598172;Correcte;Numéro de rue;340;COLLEGE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4169048013,4.4103903176;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1977-03-07
0421707C;Ecole maternelle Grand Clos;ECOLE MATERNELLE PUBLIQUE;GRAND CLOS MATERNELLE;Public;4 allée Descos;;;42000;ST ETIENNE;Saint-Etienne;806992.0;6483917.6;EPSG:2154;45.446350699971276;4.368749894670855;Correcte;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4463507,4.36874989467;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1977-05-23
0421794X;Ecole primaire Centre 2;ECOLE PRIMAIRE PUBLIQUE;CENTRE 2 PRIMAIRE;Public;14 rue Claudius Buard;;;42100;ST ETIENNE;Saint-Etienne;809140.1;6481153.8;EPSG:2154;45.42112907628209;4.395600045990146;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4211290763,4.39560004599;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1980-09-01
0421845C;Ecole élémentaire Soleil;ECOLE ELEMENTAIRE PUBLIQUE;SOLEIL;Public;10  RUE DE MONTEIL;;;42000;ST ETIENNE;Saint-Etienne;809785.4;6484277.9;EPSG:2154;45.4491528630363;4.404560432595657;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.449152863,4.4045604326;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1981-09-01
0421907V;Ecole primaire Solaure;ECOLE PRIMAIRE;SOLAURE PRIMAIRE;Public;19 rue Ambroise Paré;;;42100;ST ETIENNE;Saint-Etienne;808443.2;6479813.4;EPSG:2154;45.40917177565804;4.386389553791747;Correcte;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4091717757,4.38638955379;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1985-09-01
0421936B;Ecole primaire Métare Cottencière;ECOLE PRIMAIRE;METARE COTTENCIERE PRIMAIRE;Public;13 rue de l'Université;;;42100;ST ETIENNE;Saint-Etienne;811463.5;6481094.2;EPSG:2154;45.420218810224476;4.425289765976034;Correcte;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;42;84;10;42218;Loire;Auvergne-Rhône-Alpes;Lyon;45.4202188102,4.42528976598;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1986-09-01
