Geo Point;Geo Shape;nom;num_station;nb_bornettes;en_service;rue;mot_directeur;no;nrivoli;commune;code_insee;locations_2016;oid;locations_2019
43.5995803722,1.441400726;"{""type"": ""MultiPoint"", ""coordinates"": [[1.441400725999803, 43.599580372162684]]}";COUTELIERS -  METZ;49;18;oui;RUE DES COUTELIERS;COUTELIERS (RUE DES COUTELIERS);52;3105552372;Toulouse;31555;28850;408;25385
43.5808838977,1.44916001925;"{""type"": ""MultiPoint"", ""coordinates"": [[1.449160019247091, 43.580883897718415]]}";URSS ST THOMAS D AQUIN;158;20;oui;AV DE L URSS;URSS (AV DE L URSS);55;3105558660;Toulouse;31555;22045;432;20273
43.5732974515,1.45248014105;"{""type"": ""MultiPoint"", ""coordinates"": [[1.452480141048672, 43.57329745147772]]}";THEATRE JULES JULIEN;160;17;oui;AV DES ECOLES JULES JULIEN;JULIEN (AV DES ECOLES JULES JULIEN);21;3105552860;Toulouse;31555;8627;434;7135
43.5815724707,1.46242017599;"{""type"": ""MultiPoint"", ""coordinates"": [[1.462420175988542, 43.58157247070112]]}";BEDOUCE CANAL DU MIDI;163;20;oui;AV ALBERT BEDOUCE;BEDOUCE (AV ALBERT BEDOUCE);115;3105550112;Toulouse;31555;12826;437;9526
43.6231013627,1.4587217286;"{""type"": ""MultiPoint"", ""coordinates"": [[1.458721728603839, 43.62310136269255]]}";BONNEFOY LEMAITRE;135;17;oui;RUE DU FAUBOURG BONNEFOY;BONNEFOY (RUE DU FAUBOURG BONNEFOY);183;3105553204;Toulouse;31555;7410;440;10666
43.5792466903,1.41089487523;"{""type"": ""MultiPoint"", ""coordinates"": [[1.410894875225018, 43.57924669033877]]}";DESBALS BACHAGA BOUALAM;186;18;oui;IMP DU BACHAGA BOUALAM;BOUALAM (IMP DU BACHAGA BOUALAM);1;3105550793;Toulouse;31555;3073;460;5395
43.6003011978,1.46404891285;"{""type"": ""MultiPoint"", ""coordinates"": [[1.464048912851142, 43.6003011977985]]}";CASERNE PERIGNON;197;20;oui;AV LOUIS BLERIOT;BLERIOT (AV LOUIS BLERIOT);6;3105555360;Toulouse;31555;3279;470;8551
43.5790375966,1.48362912378;"{""type"": ""MultiPoint"", ""coordinates"": [[1.483629123780259, 43.57903759663102]]}";PLACE DE L ORMEAU;200;20;oui;AV JEAN RIEUX;RIEUX (AV JEAN RIEUX);345;3105554652;Toulouse;31555;3779;472;4167
43.5797488883,1.48083180351;"{""type"": ""MultiPoint"", ""coordinates"": [[1.480831803508153, 43.57974888829353]]}";POTEZ SAINT EXUPERY;201;20;oui;AV ANTOINE DE ST EXUPERY;EXUPERY (AV ANTOINE DE ST EXUPERY);256;3105557772;Toulouse;31555;4215;473;4212
43.5835433232,1.47006075485;"{""type"": ""MultiPoint"", ""coordinates"": [[1.470060754846352, 43.58354332320588]]}";PETIT PRINCE SAINT EXUPERY;203;20;oui;AV DU PETIT PRINCE;PRINCE (AV DU PETIT PRINCE);2;3105556790;Toulouse;31555;8084;475;8212
